task,family,k,acc_syn,acc_zs,acc_icl,acc_oracle,acc_naive,rho,rho_icl,eps,support_size
lowercase-first-letter,linguistic,2,0.348,0.02,0.9933333333333333,0.7,0.02,0.4823529411764706,0.336986301369863,0.9047000000000001,4.0
lowercase-first-letter,linguistic,4,0.632,0.02,0.9933333333333333,0.7,0.02,0.9,0.6287671232876713,0.57152,4.0
next-capital-letter,algorithmic,1,0.0,0.0,0.07333333333333335,0.0,0.0,,0.0,0.9651799999999999,4.4
next-capital-letter,algorithmic,2,0.012,0.0,0.07333333333333335,0.0,0.0,,0.1636363636363636,0.90442,4.8
next-capital-letter,algorithmic,4,0.0,0.0,0.07333333333333335,0.0,0.0,,0.0,0.7102600000000001,4.8
next-item,algorithmic,1,0.068,0.0,0.9466666666666667,0.94,0.0,0.0723404255319149,0.07183098591549296,0.93998,4.0
next-item,algorithmic,2,0.252,0.0,0.9466666666666667,0.94,0.0,0.2680851063829787,0.2661971830985915,0.92272,3.4
next-item,algorithmic,4,0.476,0.0,0.9466666666666667,0.94,0.0,0.5063829787234042,0.5028169014084507,0.72384,3.0
park-country,knowledge,1,0.27999999999999997,0.0,0.8333333333333334,0.8,0.04,0.3499999999999999,0.33599999999999997,0.97804,3.4
park-country,knowledge,2,0.74,0.0,0.8333333333333334,0.8,0.04,0.9249999999999999,0.8879999999999999,0.93564,3.2
park-country,knowledge,4,0.764,0.0,0.8333333333333334,0.8,0.04,0.955,0.9168,0.6766000000000001,4.4
person-instrument,knowledge,1,0.0,0.0,0.7666666666666666,0.0,0.0,,0.0,0.9869199999999999,3.4
person-instrument,knowledge,2,0.008,0.0,0.7666666666666666,0.0,0.0,,0.010434782608695653,0.98658,2.2
person-instrument,knowledge,4,0.0,0.0,0.7666666666666666,0.0,0.0,,0.0,0.82774,4.0
person-occupation,knowledge,1,0.016,0.0,0.5866666666666668,0.1,0.0,0.16,0.027272727272727268,0.9888399999999999,3.0
person-occupation,knowledge,2,0.012,0.0,0.5866666666666668,0.1,0.0,0.12,0.02045454545454545,0.9845599999999999,3.4
person-occupation,knowledge,4,0.004,0.0,0.5866666666666668,0.1,0.0,0.04,0.006818181818181817,0.7353799999999999,4.6
person-sport,knowledge,1,0.048,0.0,0.9666666666666667,0.4,0.0,0.12,0.0496551724137931,0.9802199999999999,3.0
person-sport,knowledge,2,0.048,0.0,0.9666666666666667,0.4,0.0,0.12,0.0496551724137931,0.9511199999999999,4.2
person-sport,knowledge,4,0.0,0.0,0.9666666666666667,0.4,0.0,0.0,0.0,0.6792400000000001,4.6
present-past,linguistic,1,0.608,0.0,0.9933333333333333,0.88,0.0,0.6909090909090909,0.6120805369127517,0.9274000000000001,4.0
present-past,linguistic,2,0.8240000000000001,0.0,0.9933333333333333,0.88,0.0,0.9363636363636364,0.829530201342282,0.9070599999999999,3.8
present-past,linguistic,4,0.892,0.0,0.9933333333333333,0.88,0.0,1.0136363636363637,0.8979865771812081,0.73942,4.4
prev-item,algorithmic,1,0.08,0.0,0.9066666666666667,0.82,0.0,0.0975609756097561,0.08823529411764705,0.9305800000000002,4.2
prev-item,algorithmic,2,0.4040000000000001,0.0,0.9066666666666667,0.82,0.0,0.4926829268292684,0.44558823529411773,0.9334199999999999,3.8
prev-item,algorithmic,4,0.52,0.0,0.9066666666666667,0.82,0.0,0.6341463414634146,0.5735294117647058,0.73838,4.0
product-company,knowledge,1,0.06799999999999999,0.02,0.9266666666666667,0.7,0.02,0.07058823529411763,0.05294117647058822,0.9908800000000001,1.8
product-company,knowledge,2,0.296,0.02,0.9266666666666667,0.7,0.02,0.40588235294117647,0.30441176470588227,0.98698,2.4
product-company,knowledge,4,0.344,0.02,0.9266666666666667,0.7,0.02,0.4764705882352941,0.35735294117647054,0.8481400000000001,4.6
singular-plural,linguistic,1,0.33999999999999997,0.04,0.9733333333333333,0.94,0.02,0.33333333333333337,0.32142857142857145,0.9761200000000001,3.8
singular-plural,linguistic,2,0.9400000000000001,0.04,0.9733333333333333,0.94,0.02,1.0000000000000002,0.9642857142857144,0.945,3.4
