task,family,k,acc_syn,acc_zs,acc_icl,acc_oracle,acc_naive,rho,rho_icl,eps,support_size
person-sport,knowledge,4,0.004,0.0,0.9666666666666667,0.4,0.0,0.01,0.004137931034482759,0.6792400000000001,4.6
present-past,linguistic,1,0.644,0.0,0.9933333333333333,0.88,0.0,0.7318181818181818,0.6483221476510067,0.9274000000000001,4.0
present-past,linguistic,2,0.844,0.0,0.9933333333333333,0.88,0.0,0.9590909090909091,0.8496644295302014,0.9070599999999999,3.8
present-past,linguistic,4,0.8960000000000001,0.0,0.9933333333333333,0.88,0.0,1.0181818181818183,0.9020134228187922,0.73942,4.4
prev-item,algorithmic,1,0.004,0.0,0.9066666666666667,0.82,0.0,0.004878048780487805,0.004411764705882353,0.9305800000000002,4.2
prev-item,algorithmic,2,0.156,0.0,0.9066666666666667,0.82,0.0,0.1902439024390244,0.17205882352941176,0.9334199999999999,3.8
prev-item,algorithmic,4,0.356,0.0,0.9066666666666667,0.82,0.0,0.43414634146341463,0.39264705882352935,0.73838,4.0
product-company,knowledge,1,0.276,0.02,0.9266666666666667,0.7,0.02,0.37647058823529417,0.2823529411764706,0.9908800000000001,1.8
product-company,knowledge,2,0.6120000000000001,0.02,0.9266666666666667,0.7,0.02,0.8705882352941179,0.6529411764705882,0.98698,2.4
product-company,knowledge,4,0.588,0.02,0.9266666666666667,0.7,0.02,0.8352941176470589,0.626470588235294,0.8481400000000001,4.6
singular-plural,linguistic,1,0.376,0.04,0.9733333333333333,0.94,0.02,0.3733333333333334,0.36000000000000004,0.9761200000000001,3.8
singular-plural,linguistic,2,0.9359999999999999,0.04,0.9733333333333333,0.94,0.02,0.9955555555555555,0.96,0.945,3.4
singular-plural,linguistic,4,0.96,0.04,0.9733333333333333,0.94,0.02,1.0222222222222221,0.9857142857142858,0.70924,3.4
synonym,linguistic,1,0.31999999999999995,0.32,0.5866666666666667,0.52,0.36,-2.7755575615628914e-16,-2.0816681711721685e-16,0.98744,3.2
synonym,linguistic,2,0.38,0.32,0.5866666666666667,0.52,0.36,0.3,0.225,0.9514999999999999,3.6
synonym,linguistic,4,0.492,0.32,0.5866666666666667,0.52,0.36,0.8599999999999999,0.6449999999999999,0.84688,4.0
verb-from-list,selection,1,0.22000000000000003,0.1,0.94,0.52,0.12,0.28571428571428575,0.14285714285714288,0.9475,4.2
verb-from-list,selection,2,0.304,0.1,0.94,0.52,0.12,0.48571428571428565,0.24285714285714285,0.8418800000000001,4.6
verb-from-list,selection,4,0.43600000000000005,0.1,0.94,0.52,0.12,0.8000000000000002,0.40000000000000013,0.60802,4.8
word-length,algorithmic,1,0.0,0.0,0.7933333333333333,0.0,0.0,,0.0,0.9759599999999999,4.0
word-length,algorithmic,2,0.0,0.0,0.7933333333333333,0.0,0.0,,0.0,0.95798,4.0
word-length,algorithmic,4,0.0,0.0,0.7933333333333333,0.0,0.0,,0.0,0.9233199999999998,3.8
